county,mean_elevation
Baringo,1365.293927
Bomet,1982.128122
Bungoma,1852.716817
Busia,1215.6254
Elgeyo-Marakwet,2101.212621
Embu,1197.437626
Garissa,149.4370171
Homa Bay,1255.457118
Isiolo,456.0338712
Kajiado,1288.343744
Kakamega,1519.382147
Kericho,1971.908546
Kiambu,1887.284181
Kilifi,147.5637627
Kirinyaga,1636.193528
Kisii,1746.27962
Kisumu,1228.60559
Kitui,634.7404901
Kwale,250.8378762
Laikipia,1862.852677
Lamu,24.36465439
Machakos,1342.915803
Makueni,1057.971478
Mandera,566.2067083
Marsabit,580.5666987
Meru,1501.698298
Migori,1343.795281
Mombasa,27.99404071
Murang'a,1709.148757
Nairobi,1651.586192
Nandi,1917.119505
Narok,1936.815844
Nyamira,1885.732976
Nyandarua,2535.027878
Nyeri,2279.345639
Samburu,1186.499418
Siaya,1211.014926
Taita Taveta,687.4130045
Tana River,204.3659368
Tharaka-Nithi,1010.872522
Trans Nzoia,2024.212438
Turkana,649.7341296
Uasin Gishu,2159.007576
Vihiga,1562.003998
Wajir,316.7240742
West Pokot,1449.846831
Nakuru,2139.435021
