County,meanElev,pH,Max NDVI,Mean NDVI,mean Tmax,mean Tmin,Hargreaves PET,Precipitation,Temp_range
Elgeyo Marakwet,2101.212621,5.900000000000001,0.8088416666666666,0.6605583333333334,22.92850833333333,12.927333333333335,1390.3144416666667,4649.849133333334,10.001174999999995
Homabay,1255.457118,6.0,0.6049416666666666,0.404375,25.955916666666667,20.912808333333334,1104.8322,1955.749075,5.043108333333333
Kakamega,1519.382147,5.7,0.7788833333333334,0.6602833333333333,26.697841666666665,15.968641666666665,1505.1958750000001,2073.0085,10.7292
Kericho,1971.908546,5.599999999999999,0.8231,0.7117833333333333,26.512733333333333,15.486516666666667,1588.4980416666667,2050.9835166666667,11.026216666666667
Kilifi,147.5637627,6.5,0.7446083333333333,0.48055833333333337,31.426000000000002,23.234350000000003,1587.784425,586.9660916666667,8.19165
Kisii,1746.27962,5.400000000000001,0.7940083333333333,0.694975,26.47074166666667,16.050808333333332,1552.4484416666667,1822.552375,10.419933333333336
Machakos,1342.915803,6.5,0.6935083333333334,0.43822500000000003,26.281541666666666,16.52123333333333,1506.4555083333335,778.1897833333334,9.760308333333334
Meru,1501.698298,6.2,0.7664749999999999,0.5216666666666666,27.170424999999998,16.957516666666667,1570.564325,968.7450749999999,10.212908333333331
Migori,1343.795281,5.900000000000001,0.6487416666666667,0.497725,26.438325000000003,19.365491666666667,1225.50385,1424.9367083333334,7.072833333333335
Nakuru,2139.435021,6.2,0.7343833333333333,0.55885,22.924158333333335,12.282991666666668,1356.0853,1147.9335250000001,10.641166666666667
Nandi,1917.119505,5.599999999999999,0.8298333333333333,0.7228166666666667,25.195025,14.35375,1452.3765166666665,1912.9077,10.841275000000001
Siaya,1211.014926,5.900000000000001,0.626675,0.4449083333333333,26.38031666666667,20.339491666666667,1213.2068583333332,2088.4157250000003,6.040825000000002
Trans-Nzoia,2024.212438,5.900000000000001,0.8194833333333333,0.629225,22.687916666666666,13.324066666666667,1286.7964583333332,1531.2211583333335,9.36385
Uasin Gishu,2159.007576,6.0,0.7948749999999999,0.5871083333333333,23.963858333333334,13.346283333333332,1462.71475,1443.6556166666667,10.617575000000002
