Keyword,Title,Address,Category,Latitude,Longitude,Phone Number
"Agrovets in NAirobi, Kenya",Jumbo Agrovet Limited,"Lotus House, Hailes Selassie",Agrochemicals supplier,-1.2885866,36.8284003,0722 510291
"Agrovets in NAirobi, Kenya",Kasarani Agrovet online deliveries Nairobi,"Goshen Gardens, Block B, Off Kasarani Mwiki Rd",Animal feed store,-1.2170228,36.8953518,0791 226344
"Agrovets in NAirobi, Kenya",Masimba Agrovet Ltd,"PWF5+4C6, Opposite Mama Villa, After Masimba Bus Stage, Kayole Spine Rd",Agrochemicals supplier,-1.2772066,36.9085091,0721 794880
"Agrovets in NAirobi, Kenya",Skylab Cropcare Limited/ Agrovet,"Shop No. G3/ G4, Ground Floor, Shepherd Arcade, Racecourse Rd.",Hardware store,-1.28563,36.830521,0725 881199
"Agrovets in NAirobi, Kenya","Farmers World Limited-(Agrovet), Nairobi","Globe Business Center, Slip road/Kijabe Street",Agricultural service,-1.2789934,36.82042,0719 535345
"Agrovets in NAirobi, Kenya",Bonnie Agrovet Shop,Agrochemicals supplier,Agrochemicals supplier,-1.2134096,36.9049005,0792 696104
"Agrovets in NAirobi, Kenya",Agro-Pests Solutions Agrovet (Githurai branch),45 Thika Rd,Agrochemicals supplier,-1.2070373,36.9150568,0792 400331
"Agrovets in NAirobi, Kenya",Arise And Shine Agrovet,Fertilizer supplier,Fertilizer supplier,-1.2884592,36.8302991,0722 997996
"Agrovets in NAirobi, Kenya",Ciira Agrovet Supplies Limited,"PR9F+PV, Keekorok Rd",Agricultural service,-1.2807645,36.8244836,0713 483593
"Agrovets in NAirobi, Kenya",Mifugo Agrovet centre,Haile Selassie Ave,Agrochemicals supplier,-1.2882678,36.828985,0757 057376
"Agrovets in NAirobi, Kenya",GOOD HEARTS AGROVET,Agricultural service,Agricultural service,-1.2882382,36.8285738,0768 867177
"Agrovets in NAirobi, Kenya",Githurai 45 Agrovet,Mwihoko Rd,Hay supplier,-1.2080962,36.9261452,0798 395262
"Agrovets in NAirobi, Kenya",Guelph Enterprise Agrovet,"PR9G+6FG, River Rd",Agricultural service,-1.281934,36.8262094,0722 746311
"Agrovets in NAirobi, Kenya",AECARE AGROVET LTD,"Nairobi, CBD Mfangano street",Agrochemicals supplier,-1.2875561,36.8285822,0724 933554
"Agrovets in NAirobi, Kenya",Wibiliv Wakulima Mashinani Agrovet,"Richmond House, Mfangano St",Agricultural service,-1.2866874,36.8275651,0724 035888
"Agrovets in NAirobi, Kenya",Nairobi Mega Agrovet Services Ltd,Veterinarian,Veterinarian,-1.3271643,36.8519537,020 828100
"Agrovets in NAirobi, Kenya",Farmers Solution Agrovet,"Opposite Linco Store, Mama Ngina St",Veterinary care,-1.2855356,36.8232833,0723 694728
"Agrovets in NAirobi, Kenya",SHAMBA AGROVET,"KOMBO MUNYU,Eastleigh North",Farm equipment supplier,-1.2706541,36.846857,020 6762537
"Agrovets in NAirobi, Kenya",AGRIGUARD Agrovet,Mondlane St,Agrochemicals supplier,-1.2830722,36.823876,0703 297837
"Agrovets in NAirobi, Kenya",KUZA AGROVET,Haile Selassie Ave,Agrochemicals supplier,-1.2880543,36.8293241,0759 896408
"Agrovets in NAirobi, Kenya",Nguzo Agrovet Limited Nairobi,"Kilimabogo House, Haile Selassie Avenue",Agrochemicals supplier,-1.2880604,36.8294039,0701 004488
"Agrovets in NAirobi, Kenya",Limuru Agrovet Suppliers,"Njengi Plaza, Rongai Market Rd",Arborist service,-1.2836681,36.8248773,0714 328322
"Agrovets in NAirobi, Kenya",Neta Agri Supplies,11 Mfangano St,Agricultural service,-1.2873472,36.8282666,0722 909576
"Agrovets in NAirobi, Kenya",Jambar Agrovet Ltd,Mfangano street,Agricultural product wholesaler,-1.2873912,36.8282582,0719 438552
"Agrovets in NAirobi, Kenya",Nikifarmcare E A Ltd,"Starehe, Barot House, Kijabe St",General store,-1.2782927,36.8196975,020 8098171
"Agrovets in NAirobi, Kenya",Unique Agrovet Supplies,New,Animal feed store,-1.2491426,36.9426146,0791 226344
"Agrovets in NAirobi, Kenya",Kulima Agrovet Centre,PR6H+H88,Agricultural service,-1.2885765,36.8283297,0789 365373
"Agrovets in NAirobi, Kenya",VETMA AGROVET,Veterinarian,Veterinarian,-1.3077989,36.9034356,0790 079326
"Agrovets in NAirobi, Kenya",One way Agrovet,"PR6H+XFW, Reli co-op hse, Mfangano St",Store,-1.2875196,36.8287185,0708 886152
"Agrovets in NAirobi, Kenya",NAWESO AGROVET,,Agrochemicals supplier,-1.2645935,36.7461164,0754 144899
"Agrovets in NAirobi, Kenya",Kilimo Central Agrovet,Market Road Githunguru Duruma Rd,Veterinary care,-1.283821,36.8300316,0723 961898
"Agrovets in NAirobi, Kenya",Apechem Agrovet,Jamia Mosque Mosque Road,General store,-1.2835342,36.8208583,0722 948103
"Agrovets in NAirobi, Kenya",Blessed Farm Agrovet_Utawala-Embakasi- Nairobi,Utawala fagilia,Agricultural service,-1.2836133,36.9709759,0719 563464
"Agrovets in NAirobi, Kenya",Sunton Agrovet And Animal Feeds And Chicks,"QWCC+2R8, Kasarani Mwiki Rd",Veterinary pharmacy,-1.229962,36.9220804,0707 314131
"Agrovets in NAirobi, Kenya",Fur World Agrovet and Animal Feeds,"At kamutiini stage, Kasarani Mwiki Rd",Veterinary pharmacy,-1.2334949,36.9294856,0728 685462
"Agrovets in NAirobi, Kenya",Jomoh Agrovet Shop,Kwa Reuben Embakasi South,Hay supplier,-1.319272,36.850078,0722 386226
"Agrovets in NAirobi, Kenya",AgroPests Solutions Agrovet,Mang Building Haile Selasie Avenue Opposite KFA - Bus Station,Agricultural production,-1.2876259,36.8300187,0728 400331
"Agrovets in NAirobi, Kenya",NIKIFARM AGROVET SUPPLIES,Veterinarian,Veterinarian,-1.279432,36.826318,020 2244525
"Agrovets in NAirobi, Kenya",Carefarm Agrovet ruaka square,Limuru Rd,Agricultural service,-1.206174,36.7819658,0707 352247
"Agrovets in NAirobi, Kenya",Waikiki Agrovet Supplies,"VX26+G9C, Ground Floor, Bushgate Towers, Railways Street, Ruiru, Ruiru Kamiti Road",Agrochemicals supplier,-1.1486989,36.9608933,0710 652867
"Agrovets in NAirobi, Kenya",Jumbo Agrovet,"Mang' Bldg Starehe, Haile Selassie Ave",Farm equipment supplier,-1.2640211,36.7202331,0722 510291
"Agrovets in NAirobi, Kenya",Gratia Poultry Farm & Agrovet,Mwihoko Rd,Agrochemicals supplier,-1.2051317,36.918073,0712 749425
"Agrovets in NAirobi, Kenya",Amiran Kenya Ltd,Airport N Rd,Agricultural service,-1.3253768,36.898321,0719 095000
"Agrovets in NAirobi, Kenya",Kamro Agrovet Ltd,"Starehe, Gill House, Tom Mboya St",General store,-1.2872585,36.8271301,0722 776902
